Benchmark;Size;Score (ns/op)
"benchmarkClear";10000;4014.026805892666
"benchmarkClear";20000;8540.679878285206
"benchmarkClear";30000;16777.312985449313
"benchmarkClear";40000;16472.437076699367
"benchmarkClear";50000;32802.64288405981
"benchmarkClear";60000;33409.12270868057
"benchmarkClear";70000;34183.249895903245
"benchmarkClear";80000;35247.612897275954
"benchmarkClear";90000;35881.42325834227
"benchmarkClear";100000;68031.31589510963
"benchmarkCompute";10000;66.90286925211325
"benchmarkCompute";20000;209.2465120359508
"benchmarkCompute";30000;325.0871252911036
"benchmarkCompute";40000;360.8587964646306
"benchmarkCompute";50000;453.5464615887623
"benchmarkCompute";60000;397.623630931709
"benchmarkCompute";70000;409.23034075283545
"benchmarkCompute";80000;540.45685754401
"benchmarkCompute";90000;695.7174745047928
"benchmarkCompute";100000;774.2527156666151
"benchmarkComputeIfAbsent";10000;48.6510450274947
"benchmarkComputeIfAbsent";20000;166.4633692180564
"benchmarkComputeIfAbsent";30000;183.6796003917705
"benchmarkComputeIfAbsent";40000;243.1224139012574
"benchmarkComputeIfAbsent";50000;234.5791168750587
"benchmarkComputeIfAbsent";60000;303.614465672312
"benchmarkComputeIfAbsent";70000;424.7817259416211
"benchmarkComputeIfAbsent";80000;382.67915605278205
"benchmarkComputeIfAbsent";90000;627.5888330579727
"benchmarkComputeIfAbsent";100000;707.6510848981359
"benchmarkComputeIfPresent";10000;105.55716796046315
"benchmarkComputeIfPresent";20000;333.4762530565713
"benchmarkComputeIfPresent";30000;340.1317658685159
"benchmarkComputeIfPresent";40000;445.0985621893981
"benchmarkComputeIfPresent";50000;483.4170334163294
"benchmarkComputeIfPresent";60000;591.0597531665251
"benchmarkComputeIfPresent";70000;2701.381846226445
"benchmarkComputeIfPresent";80000;1009.5005696042083
"benchmarkComputeIfPresent";90000;1166.2129445027356
"benchmarkComputeIfPresent";100000;1837.4310772542133
"benchmarkConstructor";10000;57.83551806588418
"benchmarkConstructor";20000;105.48797321239114
"benchmarkConstructor";30000;429.7117358047702
"benchmarkConstructor";40000;83.70688989451305
"benchmarkConstructor";50000;116.29421277501592
"benchmarkConstructor";60000;122.3438012394473
"benchmarkConstructor";70000;150.29411882915383
"benchmarkConstructor";80000;662.8133466067515
"benchmarkConstructor";90000;81.17743012787275
"benchmarkConstructor";100000;85.88640692541398
"benchmarkContainsKey";10000;197.24624225250287
"benchmarkContainsKey";20000;373.27633627303504
"benchmarkContainsKey";30000;156.12092839306342
"benchmarkContainsKey";40000;217.0300593812259
"benchmarkContainsKey";50000;234.25564785432738
"benchmarkContainsKey";60000;702.1120295621665
"benchmarkContainsKey";70000;227.05617186688576
"benchmarkContainsKey";80000;236.1143769335627
"benchmarkContainsKey";90000;590.7493468058232
"benchmarkContainsKey";100000;928.2397139509158
"benchmarkContainsValue";10000;16963.051518505923
"benchmarkContainsValue";20000;31971.321415900013
"benchmarkContainsValue";30000;48397.89063372648
"benchmarkContainsValue";40000;97736.29527068992
"benchmarkContainsValue";50000;77869.14261315792
"benchmarkContainsValue";60000;97193.17205616257
"benchmarkContainsValue";70000;110710.36167398527
"benchmarkContainsValue";80000;145823.90592350397
"benchmarkContainsValue";90000;174585.76997200598
"benchmarkContainsValue";100000;198447.42142248678
"benchmarkEntrySet";10000;63.03642175009501
"benchmarkEntrySet";20000;93.81267771303968
"benchmarkEntrySet";30000;106.1651774420604
"benchmarkEntrySet";40000;84.82207056372941
"benchmarkEntrySet";50000;82.47274113115276
"benchmarkEntrySet";60000;136.00760128120595
"benchmarkEntrySet";70000;59.38917350055519
"benchmarkEntrySet";80000;58.196733133022285
"benchmarkEntrySet";90000;125.93340073368871
"benchmarkEntrySet";100000;86.467593201037
"benchmarkEquals";10000;251594.89559142536
"benchmarkEquals";20000;569722.1638976058
"benchmarkEquals";30000;938217.3795359619
"benchmarkEquals";40000;1232350.9780566934
"benchmarkEquals";50000;1623895.0944745797
"benchmarkEquals";60000;1835998.684982542
"benchmarkEquals";70000;2132845.460378451
"benchmarkEquals";80000;2522662.6498101484
"benchmarkEquals";90000;2967715.1564186746
"benchmarkEquals";100000;3450486.984168857
"benchmarkForEach";10000;32849.21004401446
"benchmarkForEach";20000;65337.172898034165
"benchmarkForEach";30000;94166.34943223148
"benchmarkForEach";40000;138627.77624711292
"benchmarkForEach";50000;172814.86005516915
"benchmarkForEach";60000;213558.84167525725
"benchmarkForEach";70000;263467.36775609595
"benchmarkForEach";80000;313702.56785276096
"benchmarkForEach";90000;382061.23279282433
"benchmarkForEach";100000;378206.0539223706
"benchmarkGet";10000;104.39130878195927
"benchmarkGet";20000;157.26785779430253
"benchmarkGet";30000;209.7584253219043
"benchmarkGet";40000;269.3239333738377
"benchmarkGet";50000;209.0381705968208
"benchmarkGet";60000;455.2611417248433
"benchmarkGet";70000;608.9933097108817
"benchmarkGet";80000;296.29705043948553
"benchmarkGet";90000;391.49349609059
"benchmarkGet";100000;431.1851476379466
"benchmarkGetOrDefault";10000;76.86070096699015
"benchmarkGetOrDefault";20000;158.38118185443466
"benchmarkGetOrDefault";30000;237.67729905128323
"benchmarkGetOrDefault";40000;239.7661788578778
"benchmarkGetOrDefault";50000;464.1023963427498
"benchmarkGetOrDefault";60000;1434.971871915933
"benchmarkGetOrDefault";70000;385.656454519921
"benchmarkGetOrDefault";80000;274.49256805078227
"benchmarkGetOrDefault";90000;524.0031214440428
"benchmarkGetOrDefault";100000;576.2999975491817
"benchmarkHashCode";10000;67369.64859147872
"benchmarkHashCode";20000;124799.29630062982
"benchmarkHashCode";30000;180552.6680643064
"benchmarkHashCode";40000;267378.9205251822
"benchmarkHashCode";50000;333660.9154037409
"benchmarkHashCode";60000;410745.2491601339
"benchmarkHashCode";70000;480550.51867714763
"benchmarkHashCode";80000;580067.4726326708
"benchmarkHashCode";90000;667944.339764547
"benchmarkHashCode";100000;649812.8122961462
"benchmarkKeySet";10000;41.62768330994402
"benchmarkKeySet";20000;67.05104371216281
"benchmarkKeySet";30000;60.795917935038446
