Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;3416;55;497;1895;12045;181;38249;841;299;1033;3630;1863;72708;84012;913975;2385;811941;7133;27158;2964;582533;2221;539858
20000;103;49;141;649;629;123;35843;462;149;353;86;61;192299;90379;728249;104;557316;467;379;240;256800;248;338054
30000;212;49;69;800;1008;212;54902;508;201;270;205;126;16175;131956;1037004;210;544754;340;433;155;81262;227;279362
40000;220;51;72;650;1195;66;101370;608;77;110;42;53;18220;175620;905325;60;654075;435;783;237;101021;147;736512
50000;125;47;72;637;2283;74;79996;645;80;112;67;59;34100;218955;838916;63;783316;121;658;201;126946;145;382766
60000;125;55;67;737;866;73;101816;704;83;143;45;54;33153;267434;1300891;63;925029;160;562;271;160237;243;502004
70000;179;60;87;804;1237;113;116355;558;104;119;65;54;36504;306296;1257566;48;1148700;157;1087;484;183425;270;522741
80000;183;172;81;779;912;77;134682;1037;110;150;44;46;36975;379812;1424404;81;1783216;225;933;149;244504;149;638200
90000;308;53;97;1066;1458;94;144052;995;100;165;55;51;37391;403027;1884974;59;1479299;203;862;164;245920;165;1229729
100000;279;51;102;3425;1358;65;170937;3695;112;129;67;50;72204;441883;2054441;58;1922596;375;741;116;268337;149;805712
