Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;4116;70;526;3120;12345;299;30210;1470;254;918;1219;502;75920;163614;1261108;82;721783;7005;21237;2514;263999;2116;675712
20000;120;56;197;496;725;112;32053;333;138;288;76;64;7808;90929;874945;68;541466;405;587;219;109662;536;229999
30000;129;49;144;966;1804;68;49076;212;77;235;192;142;19229;140365;1195100;121;441608;369;866;165;107587;170;343579
40000;212;48;107;1083;1208;72;64273;295;73;112;67;49;16704;194543;987520;60;546704;388;945;340;90604;158;694750
50000;216;54;105;1124;4049;70;84945;1291;77;113;65;60;31383;238142;1042312;49;642645;161;1025;212;114962;313;428308
60000;279;71;110;599;875;77;113979;316;78;141;75;72;36641;301990;1283620;109;1030783;220;1412;322;162604;441;528966
70000;454;57;87;558;1687;75;106516;158;100;189;55;42;36291;344281;1916104;61;999987;168;1079;468;215808;149;597958
80000;129;65;82;654;1333;127;138490;154;73;346;67;53;33421;386603;1738854;65;1620625;279;1845;179;199970;159;732933
90000;612;85;82;991;1020;87;144104;208;95;136;67;56;34862;423197;1908370;59;1268629;163;3608;160;215479;136;708712
100000;400;53;84;3016;2120;150;166859;537;111;128;49;57;66308;607620;2922745;44;2324066;266;1128;211;235058;167;1849566
