Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction);constructor;hashCode()
10000;449624;104;77;97;112;197;16963;477654;92;141;42;42;4014;251595;192664;63;104614;67;49;106;32849;135;76798;58;67370
20000;945346;157;158;180;265;373;31971;1042278;268;313;67;66;8541;569722;425586;94;208624;209;166;333;65337;431;168006;105;124799
30000;1325982;210;238;207;309;156;48398;1460857;307;357;61;67;16777;938217;667513;106;307412;325;184;340;94166;523;261774;430;180553
40000;1942858;269;240;202;321;217;97736;2769949;322;433;66;67;16472;1232351;879270;85;444420;361;243;445;138628;630;366209;84;267379
50000;2731336;209;464;208;313;234;77869;2547123;301;463;81;75;32803;1623895;1189816;82;572673;454;235;483;172815;509;479969;116;333661
60000;2851426;455;1435;256;393;702;97193;3156330;374;486;74;77;33409;1835999;1382043;136;723457;398;304;591;213559;466;562211;122;410745
70000;4056567;609;386;334;503;227;110710;3990080;457;605;66;81;34183;2132845;1609166;59;796799;409;425;2701;263467;691;696358;150;480551
80000;4222973;296;274;325;541;236;145824;5387158;486;640;76;102;35248;2522663;1848156;58;945759;540;383;1010;313703;581;788324;663;580067
90000;7229912;391;524;444;585;591;174586;5038130;598;729;109;87;35881;2967715;2080761;126;1126049;696;628;1166;382061;1117;985128;81;667944
100000;6898117;431;576;630;647;928;198447;5378253;663;846;118;127;68031;3450487;2391196;86;1205046;774;708;1837;378206;1468;930130;86;649813
