Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;4224;57;550;1287;15283;177;38431;1941;1044;1432;3934;4763;81221;91777;928687;3058;763237;7316;27325;3261;591133;2424;539166
20000;128;57;223;737;1012;138;35440;587;171;120;89;62;199183;86561;716916;87;726354;422;454;211;249833;227;328116
30000;266;55;150;529;2037;73;49716;537;119;185;231;139;19937;133122;1013895;186;606704;362;583;169;77150;155;283241
40000;387;57;89;808;2820;87;92376;641;97;376;63;58;17304;175954;877925;59;723408;441;2708;256;109720;186;731075
50000;379;52;151;1183;2791;71;90406;3533;133;501;64;57;40750;377355;1204441;71;1964204;221;1304;259;158500;300;393408
60000;850;61;115;1200;1541;78;102849;979;142;464;67;55;38474;274571;1076279;70;1199295;191;1333;331;154858;437;752354
70000;379;85;128;783;3183;212;138599;987;188;169;73;53;38387;337879;1400479;59;2115600;303;1587;596;185091;195;652333
80000;487;63;112;1987;1662;94;144695;1216;125;187;63;49;39816;370857;1386283;65;1276925;167;1091;130;207541;144;594591
90000;841;78;107;924;1283;85;149391;1062;114;262;64;50;37079;415236;1556004;60;1721320;203;954;208;234741;135;675037
100000;475;60;107;4741;1566;80;185048;4154;113;186;60;53;74295;454412;2318116;64;2268295;260;1383;154;280579;157;1537091
