Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;459513;85;86;74;243;91;18124;6536856;135;137;50;46;4884;338221;223246;49;114859;278;129;170;34311;166;92035
20000;1028612;148;153;141;310;153;33636;27351190;249;317;51;51;10089;647160;477707;54;257828;532;245;291;67710;307;195628
30000;1383015;161;185;151;301;187;49418;63735147;279;367;52;85;21524;1063871;782923;57;365494;357;265;278;103872;301;310701
40000;2064310;168;180;195;379;169;68769;116712861;459;405;75;70;22027;1356664;973226;73;495337;421;782;354;140384;335;424266
50000;2431340;189;230;185;309;210;81983;184555621;281;412;66;76;45116;1861434;1264864;70;629158;521;312;601;174905;458;555105
60000;3151036;233;289;213;377;207;102830;282451096;355;481;163;85;52064;2110702;1485820;70;770603;700;316;706;223201;624;668139
70000;4366472;239;282;953;537;233;116950;369778653;586;669;72;76;62857;2565460;1810566;80;894646;693;592;996;263038;878;849014
80000;4953987;227;301;3090;520;237;141541;487416923;474;555;93;76;61904;2922299;2022123;62;1008655;482;706;815;312949;875;884088
90000;5267047;363;578;1416;530;315;159339;621224620;582;671;115;122;62732;3140765;2306457;128;1125996;1392;699;1698;353676;1277;1009021
100000;4980723;416;552;1902;601;391;163329;786309375;728;933;119;113;112358;4101497;2707260;140;1354975;1668;750;2178;359389;1525;1203553
