Size;put(K,V);get(K);getOrDefault(K,V);remove(K);remove(K,V);containsKey(K);containsValue(V);putIfAbsent(K,V);replace(K,V);replace(K,V,V);keySet();values();clear();equals(Object o);toString();entrySet();putAll(Map);compute(K,BiFunction);computeIfAbsent(K,Function);computeIfPresent(K,BiFunction);forEach(BiConsumer);merge(K,V,BiFunction);replaceAll(BiFunction)
10000;3412;80;466;387;14866;229;32975;887;677;1831;1248;532;75287;166178;1301029;102;735258;7370;22095;2769;248279;1860;642525
20000;195;52;190;83;624;151;32571;275;141;273;107;78;21437;89376;885212;59;540962;413;691;248;119729;313;228912
30000;120;50;154;70;1474;63;48948;216;77;274;187;105;16516;138748;1246408;131;430462;3334;866;462;70275;173;291395
40000;229;78;73;29;4337;153;69605;266;89;108;62;55;17595;187075;1043616;52;552770;608;875;290;90625;165;709095
50000;125;52;102;70;1229;98;85687;2258;76;106;64;42;34596;228615;1061070;70;629958;139;1408;341;124925;150;444066
60000;396;60;68;108;1450;108;101909;379;73;126;59;41;32933;277365;1247549;62;906237;144;1408;584;146158;283;501808
70000;483;56;88;120;2204;76;118782;433;99;192;63;38;36012;331682;2110320;44;1076658;234;1016;145;162029;513;581299
80000;166;52;87;54;1508;124;130891;204;83;108;69;43;38924;406243;1879362;71;1651983;265;1629;163;193858;152;649221
90000;679;66;91;83;1454;154;152756;1129;110;173;82;57;36562;419460;2458054;63;1689595;400;1224;170;217041;154;1048850
100000;333;66;87;108;1629;130;160533;224;150;116;65;54;65695;487156;2192437;109;1611675;525;2095;169;238841;182;852450
