"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,4014.026806,12.340741,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,8540.679878,1317.416830,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,16777.312985,671.459111,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,16472.437077,183.649355,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,32802.642884,231.653490,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,33409.122709,327.196116,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,34183.249896,403.810359,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,35247.612897,301.194601,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,35881.423258,363.543310,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,68031.315895,1461.186599,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,66.902869,9.889308,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,209.246512,155.178425,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,325.087125,90.688336,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,360.858796,171.596595,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,453.546462,271.152287,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,397.623631,102.305744,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,409.230341,144.521374,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,540.456858,217.510518,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,695.717475,509.170793,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,774.252716,523.733993,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,48.651045,6.323268,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,166.463369,114.167747,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,183.679600,59.592498,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,243.122414,127.231292,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,234.579117,115.039830,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,303.614466,134.861639,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,424.781726,239.778115,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,382.679156,233.578493,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,627.588833,475.555230,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,707.651085,965.640028,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,105.557168,71.521448,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,333.476253,160.627386,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,340.131766,111.863449,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,445.098562,160.786883,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,483.417033,207.951690,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,591.059753,470.858206,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,2701.381846,4396.975545,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,1009.500570,1436.634178,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,1166.212945,857.630609,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,1837.431077,1386.436659,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,57.835518,28.468406,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,105.487973,60.930931,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,429.711736,530.420191,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,83.706890,18.384678,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,116.294213,61.273759,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,122.343801,57.194816,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,150.294119,87.918892,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,662.813347,1305.857099,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,81.177430,24.775663,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkConstructor","avgt",1,9,85.886407,33.904999,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,197.246242,294.747939,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,373.276336,598.377344,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,156.120928,38.946205,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,217.030059,93.640775,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,234.255648,242.808106,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,702.112030,993.822645,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,227.056172,111.739245,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,236.114377,103.420785,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,590.749347,645.869570,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsKey","avgt",1,9,928.239714,741.427456,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,16963.051519,690.348078,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,31971.321416,2051.980025,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,48397.890634,3820.749854,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,97736.295271,19905.091168,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,77869.142613,9517.440826,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,97193.172056,8037.992570,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,110710.361674,7888.948288,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,145823.905924,7438.352508,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,174585.769972,11450.355325,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkContainsValue","avgt",1,9,198447.421422,27941.838340,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,63.036422,28.312350,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,93.812678,41.349894,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,106.165177,32.016278,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,84.822071,53.458769,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,82.472741,28.326455,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,136.007601,191.469122,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,59.389174,17.521350,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,58.196733,19.109562,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,125.933401,86.483381,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEntrySet","avgt",1,9,86.467593,58.975346,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,251594.895591,5287.471627,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,569722.163898,64575.510651,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,938217.379536,94044.635618,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,1232350.978057,69065.016726,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,1623895.094475,107254.616020,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,1835998.684983,116167.948652,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkEquals","avgt",1,9,2132845.460378,195160.057120,"ns/op",70000
