"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,4006.535663,19.499393,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,8299.317101,456.520590,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,17393.318834,2196.337908,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,21103.900023,18293.766632,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,43791.720018,21570.003255,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,53242.967391,19784.563049,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,76828.765599,14514.711720,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,74830.088086,10184.004902,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,76933.879981,17806.216089,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkClear","avgt",1,9,130536.922623,16639.679152,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,412.320152,320.558321,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,742.408180,621.817994,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,407.031190,95.294990,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,523.184212,139.067143,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,689.075880,501.717014,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,868.144152,445.437385,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,847.068452,1101.287479,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,453.652702,130.234088,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,1522.532753,2009.688005,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkCompute","avgt",1,9,2285.337031,3511.682640,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,144.050925,146.383662,"ns/op",10000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,303.255892,193.326158,"ns/op",20000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,310.034067,155.333216,"ns/op",30000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,1339.308384,3992.465379,"ns/op",40000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,358.533314,265.794540,"ns/op",50000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,355.542479,126.847373,"ns/op",60000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,796.914977,849.736736,"ns/op",70000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,1033.268051,1351.343739,"ns/op",80000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,720.741467,787.663251,"ns/op",90000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfAbsent","avgt",1,9,923.588867,925.399119,"ns/op",100000
"custommap.CustomLinkedHashMapPerformanceBenchmark.benchmarkComputeIfPresent","avgt",1,9,224.205299,301.606297,"ns/op",10000
